id,heritage,salary,trust,group,output
1,Basoga,200,Low,B,Visualization
2,Ankole,481,Low,C,Report
3,Ganda,1608,High,C,Spreadsheet
4,Basoga,1474,Medium,A,Report
5,Ankole,1798,Low,B,Visualization
6,Basoga,900,Low,B,Spreadsheet
7,Ganda,1972,Medium,C,Spreadsheet
8,Ankole,1489,Low,B,Visualization
9,Ganda,1480,Medium,B,Report
10,Ganda,1349,Medium,B,Report
11,Ankole,629,High,A,Report
12,Ankole,1303,Low,B,Report
13,Toro,500,Medium,C,Spreadsheet
14,Basoga,1803,Medium,A,Visualization
15,Toro,1549,High,A,Visualization
16,Ankole,1871,Medium,B,Report
17,Basoga,886,High,C,Report
18,Ankole,643,Low,C,Report
19,Ganda,1901,High,B,Spreadsheet
20,Toro,1942,Medium,A,Report
21,Ankole,659,High,A,Spreadsheet
22,Ganda,1768,High,B,Visualization
23,Basoga,628,High,A,Report
24,Ankole,279,Medium,C,Spreadsheet
25,Basoga,309,High,A,Spreadsheet
26,Ganda,203,High,B,Spreadsheet
27,Ganda,614,High,B,Report
28,Ganda,396,High,A,Spreadsheet
29,Ganda,379,Low,A,Visualization
30,Ganda,1542,Low,C,Visualization
31,Ganda,1755,High,B,Report
32,Ankole,763,Low,C,Visualization
33,Ankole,417,Medium,B,Visualization
34,Basoga,976,High,A,Spreadsheet
35,Ankole,644,Medium,A,Visualization
36,Toro,408,High,A,Spreadsheet
37,Basoga,443,Medium,B,Spreadsheet
38,Ankole,1946,High,A,Report
39,Toro,1207,Medium,A,Visualization
40,Toro,1911,Low,A,Visualization
41,Toro,1406,High,A,Spreadsheet
42,Ganda,963,Medium,A,Spreadsheet
43,Toro,1362,Medium,B,Visualization
44,Basoga,1692,Low,C,Visualization
45,Basoga,350,Low,A,Visualization
46,Ankole,355,Medium,C,Report
47,Ganda,614,Medium,A,Visualization
48,Ganda,509,High,C,Visualization
49,Ganda,861,Medium,B,Report
50,Toro,1565,High,A,Visualization
51,Basoga,548,Medium,C,Visualization
52,Toro,1665,Low,B,Spreadsheet
53,Basoga,1918,High,B,Visualization
54,Toro,931,Medium,B,Visualization
55,Ganda,1078,Medium,C,Report
56,Ganda,276,High,A,Spreadsheet
57,Toro,1037,Medium,A,Report
58,Toro,1698,High,C,Spreadsheet
59,Toro,409,Medium,B,Spreadsheet
60,Ganda,1445,Medium,B,Spreadsheet
61,Basoga,1212,Low,B,Visualization
62,Basoga,891,Medium,A,Visualization
63,Toro,205,Low,C,Spreadsheet
64,Basoga,487,Low,A,Visualization
65,Ankole,1951,Medium,C,Visualization
66,Basoga,1526,Low,A,Visualization
67,Ganda,947,Medium,B,Report
68,Ankole,1095,Low,B,Spreadsheet
69,Toro,1286,High,A,Visualization
70,Basoga,1292,Low,C,Visualization
71,Ganda,1902,High,B,Visualization
72,Ankole,1948,High,A,Spreadsheet
73,Ganda,228,High,B,Spreadsheet
74,Ganda,481,Medium,C,Spreadsheet
75,Toro,1910,Medium,A,Spreadsheet
76,Toro,1314,High,C,Report
77,Ganda,427,Low,A,Report
78,Toro,1447,Medium,B,Visualization
79,Ganda,575,High,C,Visualization
80,Ganda,1810,Medium,B,Report
81,Basoga,1460,Medium,A,Visualization
82,Ankole,947,Low,C,Visualization
83,Ganda,385,Medium,B,Visualization
84,Ganda,1481,Low,A,Spreadsheet
85,Ankole,704,Medium,B,Visualization
86,Basoga,1708,Medium,A,Spreadsheet
87,Toro,1881,Medium,C,Report
88,Ankole,541,High,C,Report
89,Ankole,1360,High,A,Visualization
90,Ganda,1934,High,B,Report
91,Toro,1814,High,C,Spreadsheet
92,Toro,1976,Medium,A,Report
93,Toro,1728,High,A,Visualization
94,Ganda,958,High,C,Visualization
95,Toro,1514,High,C,Report
96,Basoga,1763,High,C,Visualization
97,Basoga,524,High,A,Visualization
98,Ganda,950,High,A,Report
99,Ankole,1143,High,C,Spreadsheet
100,Ankole,1606,Low,A,Report
